Date;heating
5/20/2021 7:45:30 AM;off
5/20/2021 7:46:26 AM;on
5/20/2021 7:46:37 AM;off
5/20/2021 7:47:20 AM;on
5/20/2021 7:47:31 AM;off
5/20/2021 7:48:14 AM;on
5/20/2021 7:48:25 AM;off
5/20/2021 7:49:08 AM;on
5/20/2021 7:49:19 AM;off
5/20/2021 7:50:02 AM;on
5/20/2021 7:50:13 AM;off
5/20/2021 7:50:56 AM;on
5/20/2021 7:51:07 AM;off
5/20/2021 7:51:50 AM;on
5/20/2021 7:52:01 AM;off
5/20/2021 7:55:26 AM;on
5/20/2021 7:55:37 AM;off
5/20/2021 7:56:26 AM;on
5/20/2021 7:56:36 AM;off
5/20/2021 7:57:20 AM;on
5/20/2021 7:57:30 AM;off
5/20/2021 7:58:14 AM;on
5/20/2021 7:58:24 AM;off
5/20/2021 7:59:08 AM;on
5/20/2021 7:59:18 AM;off
5/20/2021 8:00:02 AM;on
5/20/2021 8:00:12 AM;off
5/20/2021 8:07:32 AM;on
5/20/2021 8:07:42 AM;off
5/20/2021 8:08:26 AM;on
5/20/2021 8:08:36 AM;off
5/20/2021 8:09:20 AM;on
5/20/2021 8:09:30 AM;off
5/20/2021 8:10:14 AM;on
5/20/2021 8:10:24 AM;off
5/20/2021 8:11:08 AM;on
5/20/2021 8:11:18 AM;off
5/20/2021 8:12:02 AM;on
5/20/2021 8:12:12 AM;off
5/20/2021 8:12:56 AM;on
5/20/2021 8:13:06 AM;off
5/20/2021 8:13:50 AM;on
5/20/2021 8:14:00 AM;off
5/20/2021 8:14:44 AM;on
5/20/2021 8:14:54 AM;off
5/20/2021 8:15:38 AM;on
5/20/2021 8:15:48 AM;off
5/20/2021 8:17:14 AM;on
5/20/2021 8:17:24 AM;off
5/20/2021 8:18:08 AM;on
5/20/2021 8:18:18 AM;off
5/20/2021 8:19:50 AM;on
5/20/2021 8:20:00 AM;off
5/20/2021 8:39:45 AM;on
5/20/2021 8:39:55 AM;off
5/20/2021 8:43:15 AM;on
5/20/2021 8:43:25 AM;off
5/20/2021 8:44:09 AM;on
5/20/2021 8:44:19 AM;off
5/31/2021 3:12:50 PM;on
5/31/2021 3:13:00 PM;off
5/31/2021 3:13:44 PM;on
5/31/2021 3:13:54 PM;off
5/31/2021 3:14:38 PM;on
5/31/2021 3:14:48 PM;off
5/31/2021 3:15:32 PM;on
5/31/2021 3:15:42 PM;off
5/31/2021 3:16:56 PM;on
5/31/2021 3:17:06 PM;off
5/31/2021 3:19:08 PM;on
5/31/2021 3:19:18 PM;off
5/31/2021 3:20:02 PM;on
5/31/2021 3:20:12 PM;off
5/31/2021 3:20:56 PM;on
5/31/2021 3:21:06 PM;off
5/31/2021 4:51:32 PM;on
5/31/2021 4:51:42 PM;off
