Date;light target;light real;co2 target;co2 real;temp1;temp2;temp3;temp4;box_humidity;box_temperature;time elapsed
25.05.2021 16:18:43;121;121;5;4,96;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;645
25.05.2021 16:18:47;121;121;5;4,92;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;646
25.05.2021 16:18:50;121;121;5;4,95;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;647
25.05.2021 16:18:54;121;121;5;4,96;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;648
25.05.2021 16:18:58;121;121;5;4,92;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;649
25.05.2021 16:19:01;121;121;5;4,9;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;650
25.05.2021 16:19:05;121;121;5;4,92;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;651
25.05.2021 16:19:08;121;121;5;4,9;39,2;31,1;34,5;35,6;66,7000009939075;40,1000005975366;652
25.05.2021 16:19:12;121;121;5;4,88;39,2;31,1;34,5;35,6;66,7000009939075;40,1000005975366;653
25.05.2021 16:19:16;121;121;5;4,95;39,2;31,1;34,5;35,6;66,7000009939075;40,1000005975366;654
25.05.2021 16:19:19;121;121;5;4,98;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;655
25.05.2021 16:19:23;121;121;5;4,96;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;656
25.05.2021 16:19:26;121;121;5;5,01;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;657
25.05.2021 16:19:30;121;121;5;4,98;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;658
25.05.2021 16:19:34;121;121;5;4,99;39,2;31,1;34,5;35,6;66,7000009939075;40,1000005975366;659
25.05.2021 16:19:37;121;121;5;5,05;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;660
25.05.2021 16:19:41;121;121;5;5,09;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;661
25.05.2021 16:19:44;121;121;5;5,1;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;662
25.05.2021 16:19:48;121;121;5;5,05;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;663
25.05.2021 16:19:52;121;121;5;5,12;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;664
25.05.2021 16:19:55;121;121;5;5,08;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;665
25.05.2021 16:19:59;121;121;5;5,06;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;666
25.05.2021 16:20:02;121;121;5;5,05;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;667
25.05.2021 16:20:06;121;121;5;5,05;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;668
25.05.2021 16:20:10;121;121;5;5,03;38,1;30;34,5;35,6;66,6000009924173;40,1000005975366;669
25.05.2021 16:20:13;121;121;5;5,06;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;670
25.05.2021 16:20:17;121;121;5;5,01;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;671
25.05.2021 16:20:20;121;121;5;5,02;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;672
25.05.2021 16:20:24;121;121;5;4,99;38,1;31,1;34,5;36,8;66,6000009924173;40,1000005975366;673
25.05.2021 16:20:28;121;121;5;5,02;38,1;31,1;34,5;36,8;66,6000009924173;40,1000005975366;674
25.05.2021 16:20:31;121;121;5;4,98;38,1;31,1;34,5;34,5;66,6000009924173;40,1000005975366;675
25.05.2021 16:20:35;121;121;5;4,95;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;676
25.05.2021 16:20:38;121;121;5;4,95;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;677
25.05.2021 16:20:42;121;121;5;4,92;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;678
25.05.2021 16:20:46;121;121;5;4,95;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;679
25.05.2021 16:20:49;121;121;5;4,92;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;680
25.05.2021 16:20:53;121;121;5;4,94;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;681
25.05.2021 16:20:56;121;121;5;4,92;39,2;31,1;34,5;35,6;66,6000009924173;40,1000005975366;682
25.05.2021 16:21:00;121;121;5;4,92;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;683
25.05.2021 16:21:04;121;121;5;4,93;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;684
25.05.2021 16:21:07;121;121;5;4,94;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;685
25.05.2021 16:21:11;121;121;5;4,97;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;686
25.05.2021 16:21:14;121;121;5;4,99;38,1;30;34,5;35,6;66,6000009924173;40,1000005975366;687
25.05.2021 16:21:18;121;121;5;4,96;38,1;30;34,5;35,6;66,6000009924173;40,1000005975366;688
25.05.2021 16:21:22;121;121;5;4,96;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;689
25.05.2021 16:21:25;121;121;5;4,96;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;690
25.05.2021 16:21:29;121;121;5;4,95;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;691
25.05.2021 16:21:32;121;121;5;4,97;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;692
25.05.2021 16:21:36;121;121;5;4,88;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;693
25.05.2021 16:21:40;121;121;5;4,91;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;694
25.05.2021 16:21:43;121;121;5;4,96;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;695
25.05.2021 16:21:47;121;121;5;5,03;39,2;31,1;34,5;35,6;66,6000009924173;40,1000005975366;696
25.05.2021 16:21:50;121;121;5;5,01;39,2;31,1;34,5;35,6;66,6000009924173;40,2000005990267;697
25.05.2021 16:21:54;121;121;5;5,01;38,1;31,1;34,5;35,6;66,6000009924173;40,1000005975366;698
25.05.2021 16:21:58;121;121;5;4,98;39,2;31,1;34,5;35,6;66,6000009924173;40,1000005975366;699
25.05.2021 16:22:01;121;121;5;4,97;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;700
25.05.2021 16:22:05;121;121;5;5;38,1;32,2;34,5;35,6;66,5000009909272;40,2000005990267;701
25.05.2021 16:22:08;121;121;5;5;38,1;30;34,5;35,6;66,5000009909272;40,2000005990267;702
25.05.2021 16:22:12;121;121;5;4,98;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;703
25.05.2021 16:22:16;121;121;5;5,01;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;704
25.05.2021 16:22:19;121;121;5;5;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;705
25.05.2021 16:22:23;121;121;5;5;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;706
25.05.2021 16:22:26;121;121;5;4,98;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;707
25.05.2021 16:22:30;121;121;5;4,97;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;708
25.05.2021 16:22:34;121;121;5;4,96;39,2;32,2;34,5;35,6;66,5000009909272;40,2000005990267;709
25.05.2021 16:22:37;121;121;5;4,98;39,2;32,2;34,5;35,6;66,5000009909272;40,2000005990267;710
25.05.2021 16:22:41;121;121;5;4,94;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;711
25.05.2021 16:22:44;121;121;5;4,94;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;712
25.05.2021 16:22:48;121;121;5;4,91;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;713
25.05.2021 16:22:52;121;121;5;4,91;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;714
25.05.2021 16:22:55;121;121;5;4,92;39,2;31,1;34,5;35,6;66,5000009909272;40,2000005990267;715
25.05.2021 16:22:59;121;121;5;4,9;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;716
25.05.2021 16:23:02;121;121;5;4,92;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;717
25.05.2021 16:23:06;121;121;5;4,93;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;718
25.05.2021 16:23:10;121;121;5;4,93;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;719
25.05.2021 16:23:13;121;121;5;4,95;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;720
25.05.2021 16:23:17;121;121;5;4,95;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;721
25.05.2021 16:23:20;121;121;5;4,97;38,1;31,1;34,5;35,6;66,5000009909272;40,2000005990267;722
